Facility Name,Location Address,Location Address2,City,State,Zip Code,County,Region,Phone Number,Owner Name,Owner Type,Activity Desc,Activity Number,Active,East Coordinate,North Coordinate,Accuracy Code,Waste Types,Authorization Number,Authorization Issue Date,Expiration Date,Georeference
Pottersville Garage,7920 State Rt. 9,,Pottersville,NY,12860,Warren,5,5184943631,Roger F. Peet,Private,Motor vehicle repair shop - small - registration,[57V10018],Yes,594632,4842173,,End of Life Vehicles,57V10018,10/07/2019,10/07/2024,"7920 State Rt. 9
Pottersville, NY 12860
(43.726538, -73.82532)"
Riverhead CB LLC,1521 Roanoke Ave,,Riverhead,NY,11901,Suffolk,1,6317270170,Riverhead CB LLC,Private,CDDHRF - concrete rock brick - registration,[52C10251],Yes,695258,4534626,4.3 - Utilization of Digital Orthophoto Quads,Concrete;Brick;Rock,52-0251,09/17/2019,09/16/2024,"1521 Roanoke Ave
Riverhead, NY 11901
(40.940388, -72.680837)"
Kinsella Barrett Plant,4800 Solvay Road Ext.,,Jamesville,NY,13078,Onondaga,7,3153780657,Hanson Aggregates East,Private,CDDHRF - asphalt pavement and millings - registration,[34C20033],Yes,412430,4761773,1 - No accuracy stated,Asphalt,34C10033,06/05/2018,06/04/2023,"4800 Solvay Road Ext.
Jamesville, NY 13078
(43.003602, -76.07451)"
Organix Green Industries,2257 County Road 4 Box 142,,Seneca Castle,NY,14547,Ontario,8,5855265427,John Hicks,Private,Composting - yard trimmings - registration,[35P10021],Yes,328012,4751185,,Mixture of Leaves and Grass,35P10021,11/05/2020,11/04/2025,"2257 County Road 4 Box 142
Seneca Castle, NY 14547
(42.892783, -77.104037)"
NYCDOS-NORTH SHORE MTS,31 AVE & FLUSHING BAY,,College Point,NY,11354,Queens,2,2128378030,NYC Department of Sanitation,Municipal,Transfer station - permit,[41T01],Yes,597307,4513857,,MSW (Residential/Institutional & Commercial),2-6302-00007/00019,06/21/2017,06/22/2022,
Brookfield Resource Management Inc.(Montrose),2114 Albany Post Road,,Montrose,NY,10548,Westchester,3,9149301626,Brookfield Resource Management Inc,Private,C&D processing - registration,[60W33],Yes,589831,4566999,,,,,,"2114 Albany Post Road
Montrose, NY 10548
(41.248551, -73.929091)"
Perfetto Contracting Co Inc,2000 Richmond Terrace,,Staten Island,NY,10302,Richmond,2,7188588600,Chez Perfetto,Private,C&D processing - registration,[43W58],Yes,573696,4499132,4.2 - Utilization of GIS and existing spatial data,Brick;Concrete;Rock;Soil (Clean);Asphalt,,,,"2000 Richmond Terrace
Staten Island, NY 10302
(40.639667, -74.129964)"
Hard Rock C&D,Martin & McKinstry Roads,,Machias,NY,14101,Cattaraugus,9,,Eldon King,,CDDHRF - concrete rock brick - registration,[05C10021],Yes,211393,4704735,4 - GIS Assisted,Concrete,05C10021,09/11/2019,09/10/2024,"Martin & McKinstry Roads
Machias, NY 14101
(42.442636, -78.51018)"
Chatham Convenience,Rt. 295,,Chatham,NY,12037,Columbia,4,5183922222,Columbia County,County,Transfer station - registration,[11R38],Yes,617870,4693263,,MSW (Residential/Institutional & Commercial);Construction & Demolition Debris;Single Stream,11R38,,,
Conewango Transfer Station,4640 Route 241,,Conewango,NY,14726,Cattaraugus,9,7163585300,Cattaraugus County DPW,County,RHRF - 5 tpd or less - registration,[05R10009],Yes,170225,4680044,,Container Glass;Plastic;Commingled Paper;Electronics;Enameled Appliances / White Goods;Other Aluminum Scrap Metal,05R10009,01/03/2019,01/03/2024,
New Enterprise Stone & Lime; Co.; Inc. Barton Facility,91 Barton Road,,Lancaster,NY,14086,Erie,9,7165669633,New Enterprise Stone & Lime Co.; Inc.,Private,C&D processing - registration,[15W63],Yes,202092,4762070,4.2 - Utilization of GIS and existing spatial data,Asphalt,15W63,07/06/2016,,"91 Barton Road
Lancaster, NY 14086
(42.954894, -78.652276)"
South East Auto Recycle Inc,1492 Route 22,7 Wingdale Mountain Road,Wingdale,NY,12594,Dutchess,3,8458329448,Jorge Merchan,Private,Scrap metal processor - registration,[14V30001],Yes,618854,4609510,,Scrap Metal - Ferrous ;Scrap Metal - Non-ferrous,14V30001,02/11/2019,02/10/2023,"1492 Route 22
Wingdale, NY 12594
(41.628545, -73.573916)"
Metalico Goodman Services Inc,5338 Route 474,,Ashville,NY,14710,Chautauqua,9,7167822125,Metalico Inc,Private,VDF - large - registration,[07V50046],Yes,135262,4668250,1 - No accuracy stated,End of Life Vehicles,07V50046,02/06/2019,02/06/2024,"5338 Route 474
Ashville, NY 14710
(42.080842, -79.407887)"
Watbro Recycling Inc,45 South Fourth Street,,Bayshore,NY,11706,Suffolk,1,6315868300,John Watral,Private,C&D processing - registration,[52W106R],Yes,644146,4513830,4.3 - Utilization of Digital Orthophoto Quads,Asphalt;Concrete,52W106R,05/15/2001,,"45 South Fourth Street
Bayshore, NY 11706
(40.762683, -73.294384)"
Thurman C&D Debris Landfill,Erving Baker Road,,Thurman,NY,12810,Warren,5,5186239649,Town of Thurman,Municipal,Landfill - C&DD - permit,[57D03],Yes,588232,4818224,,Construction & Demolition Debris,5-5238-00010-00002,04/05/2017,04/04/2022,
Get Green Auto Parts; Inc.,133 Minnie Bennett Road,,Schuylerville,NY,12871,Saratoga,5,5187450316,John Smith,Private,Scrap metal processor - registration,[46V30001],Yes,612454,4768228,,,46V30001,08/15/2018,08/14/2023,"133 Minnie Bennett Road
Schuylerville, NY 12871
(43.05807, -73.617697)"
Town of Webb Transfer Station,152 McCauley Mtn. Rd.,PO Box 157,Old Forge,NY,13420,Herkimer,6,3153693121,Oneida Herkimer SWMA,Municipal,RHRF - 5 tpd or less - registration,[22R10001],Yes,502137,4837921,1.1 - Obtained from original submission and unverified process,Single Stream,22R10001,11/09/2018,11/08/2023,
UCRRA New Paltz Transfer Station,1 Clearwater Rd,,New Paltz,NY,12561,Ulster,3,8452556358,Public Benefit corp,County,Transfer station - permit,[56T03],Yes,578147,4626823,,Construction & Demolition Debris;MSW (Residential/Institutional & Commercial);Sewage Treatment Plant Sludge;Corrugated Cardboard;Metals (Ferrous & Non-Ferrous);Electronics;Waste Tires,3-5138-00089/00001,07/30/2009,07/29/2019,"1 Clearwater Rd
New Paltz, NY 12561
(41.791336, -74.068636)"
Erie Vo-Vo Inc,125 Mohawk Street,,Whitesboro,NY,13492,Oneida,6,3157368215,Mark Kuchera,Private,VDF - large - registration,[33V50023],Yes,476974,4775103,,End of Life Vehicles,33V50023,02/05/2020,02/04/2025,"125 Mohawk Street
Whitesboro, NY 13492
(43.127587, -75.282839)"
NEWSNY/Clinton County LCD LF,286 Sand Road,,Morrisonville,NY,12962,Clinton,5,5185635514,Clinton County,County,Landfill - land clearing debris,[10D17],Yes,611553,4949667,4.3 - Utilization of Digital Orthophoto Quads,,10D17,01/20/2010,,"286 Sand Road
Morrisonville, NY 12962
(44.690578, -73.595272)"
Ray Lantz Garage Inc,230 Tiona Road,PO Box 193,Maine,NY,13802,Broome,7,6078623350,Donald G. Lantz,Private,VDF - large - registration,[04V50028],Yes,412384,4674675,,End of Life Vehicles,04V50028,03/06/2019,03/05/2024,"230 Tiona Road
Maine, NY 13802
(42.218534, -76.061741)"
Buffalo Auto Wrecking Inc.,229 Hertel Avenue,,Buffalo,NY,14207,Erie,9,7168733699,John Adornetto,Private,VDF - large - registration,[15V50012],Yes,181968,4761861,1.1 - Obtained from original submission and unverified process,End of Life Vehicles,15V50012,11/20/2018,11/20/2023,"229 Hertel Avenue
Buffalo, NY 14207
(42.943738, -78.898424)"
Hooper's Tire Outlet,503 Gordon Avenue,Suite 1,Syracuse,NY,13208,Onondaga,7,3154126127,Daniel Hooper,Private,WTHRF - seller - registration,[34W20076],Yes,407324,4771556,4.1 - Address Matching,Tire,34W20076,01/17/2019,01/16/2024,"503 Gordon Avenue
Syracuse, NY 13208
(43.091094, -76.138997)"
MJ Acres LLC,2054 Church Road,,Darien Center,NY,14040,Wyoming,9,5858139280,Matthew Janis,Private,Composting - roadkill/mortalities - registration,[61P30015],Yes,227094,4750266,,Animal Carcasses,61P30015,04/09/2021,04/09/2026,"2054 Church Road
Darien Center, NY 14040
(42.858378, -78.340334)"
JVB Landscaping Inc.,238-242 New Hackensack Road,,Wappingers Falls,NY,12590,Dutchess,3,8454621800,Jared Van Benschoten,Private,CDDHRF - asphalt pavement and millings - registration,[14C20001],Yes,592907,4608423,4.3 - Utilization of Digital Orthophoto Quads,Asphalt;Concrete;Soil (Clean);Rock,14C20001,08/18/2021,08/18/2026,"238-242 New Hackensack Road
Wappingers Falls, NY 12590
(41.623694, -73.882528)"
Northstar Auto and Salvage; LLC,28722 NYS Route 37,,Evans Mills,NY,13637,Jefferson,6,3156294824,Madeline Shoen,Private,VDF - large - registration,[23V50009],Yes,429904,4881498,1 - No accuracy stated,End of Life Vehicles,23V50009,04/04/2019,04/03/2024,"28722 NYS Route 37
Evans Mills, NY 13637
(44.084006, -75.875573)"
Jackson Recycling/Transfer Station,408 Content Farm Road,,Cambridge,NY,12816,Washington,5,5186778687,Jackson Transfer Station; LLC,Private,RHRF - permit,[58RP0011],Yes,632380,4767984,,Commingled Paper;Commingled Containers;Paperboard/Boxboard;Electronics;Magazines;Newspaper;Office Paper,5-5342-00023/00003,12/18/2020,07/08/2023,"408 Content Farm Road
Cambridge, NY 12816
(43.053953, -73.375938)"
L&H Hauling,2155 County Route 38,,Norfolk,NY,13667,St. Lawrence,6,3152509896,Bradley Premo,Private,RHRF - 5 tpd or less - registration,[45R10012],Yes,511350,4966797,4.1 - Address Matching,Single Stream,45R10012,11/16/2019,11/15/2024,"2155 County Route 38
Norfolk, NY 13667
(44.854689, -74.855754)"
Crushmore LLC-Smith's Gravel Pit,7120 Sodus Center Road,,Sodus,NY,14551,Wayne,8,2035507207,Crushmore LLC,Private,CDDHRF - asphalt pavement and millings - registration,[59C20010],Yes,334100,4785100,4.2 - Utilization of GIS and existing spatial data,Asphalt Millings;Asphalt Pavement,59C20010,12/09/2019,12/08/2024,"7120 Sodus Center Road
Sodus, NY 14551
(43.202056, -77.043758)"
Teplitz Metal Recycling Middletown,75 Church Street,108 West Nyack Road; Nanuet; NY; 10954,Middletown,NY,10940,Orange,3,8453446014,TMP of Middletown; Inc.,Private,Scrap metal processor - registration,[36V30006],Yes,549251,4589988,,Scrap Metal - Aluminum ;Scrap Metal - Ferrous ;Scrap Metal - Non-ferrous,36V30006,11/13/2019,11/12/2023,"75 Church Street
Middletown, NY 10940
(41.459507, -74.410346)"
Jamaica Recycling (Liberty),94-29 165th Street,,Jamaica,NY,11433,Queens,2,7187397224,Michael Bellino,Private,Transfer station - permit,[41T30],Yes,602024,4506425,,Petroleum Contaminated Soil;MSW (Residential/Institutional & Commercial);Industrial,2-6307-00126/00005,05/14/2015,05/13/2020,"94-29 165th Street
Jamaica, NY 11433
(40.703195, -73.79313)"
St. Armand Transfer Station,River Road,Route 3,St. Armand,NY,12913,Essex,5,5188913189,Essex County,County,Transfer station - registration,[16R42],Yes,572130,4913823,,MSW (Residential/Institutional & Commercial),16R42,02/09/1994,,
CMT Recycling Center,1911 Ford St.,,Ogdensburg,NY,13669,St. Lawrence,6,3153949174,Clinton Middlemiss,Private,RHRF - 5 tpd or less - registration,[45R10002],Yes,462567,4950411,1 - No accuracy stated,Paperboard/Boxboard;Source Separated Recyclables (Metal/Glass/Paper/Plastic),45R10002,04/09/2019,04/08/2024,"1911 Ford St.
Ogdensburg, NY 13669
(44.706429, -75.472489)"
GADS Inc,594 Scholes Street,,Brooklyn,NY,11237,Kings,2,7184162190,Michael Allocco,Private,C&D processing - permit,[24WF7],Yes,590889,4507379,,Construction & Demolition Debris;Metals (Ferrous);Metals (Non-Ferrous);Concrete;Paper / Cardboard;Plastics;Wood (Chips);Wood (Unadulterated),2-6104-01347/00001,09/20/2021,09/16/2026,"594 Scholes Street
Brooklyn, NY 11237
(40.712371, -73.924066)"
Aaron Auto Supply Corp,136 Peconic Ave,,Medford,NY,11763,Suffolk,1,6312893434,Michael Holmer,Private,VDF - large - registration,[52V50263],Yes,670031,4520328,4.3 - Utilization of Digital Orthophoto Quads,End of Life Vehicles,52V50263,03/08/2019,03/07/2024,"136 Peconic Ave
Medford, NY 11763
(40.816769, -72.983274)"
Wait's Garage,153 Snyders Corner Rd,,Wynantskill,NY,12198-3125,Rensselaer,4,5182831432,Jeff Wait,Private,Vehicle Dismantling Facility,[R3420058],Yes,613875,4725534,,,,,,"153 Snyders Corner Rd
Wynantskill, NY 12198-3125
(42.673282, -73.609812)"
RCSWMA Materials Recovery Facility,420 Torne Valley Rd,,Hillburn,NY,10931,Rockland,3,8457532200,Rockland Co. SWM Authority,County,RHRF - greater than 5 tpd - registration,[44R20002],Yes,571118,4555250,,Commingled Containers;Commingled Paper;Paper / Cardboard;Newspaper;Office Paper;Glass;Metals (Ferrous);Metals (Non-Ferrous),44R20002,04/30/2019,04/29/2024,
Lewis (Town) Transfer Station,1218 County Route 47,Fish Creek Road,West Leyden,NY,13489,Lewis,6,3159424470,Town of Lewis,Municipal,RHRF - 5 tpd or less - registration,[25R10008],Yes,462098,4813238,1 - No accuracy stated,Commingled Paper;Container Glass;Commingled Containers,25R10008,04/10/2019,04/09/2024,
Lake Luzerne Transfer Station,119 Towner Road,,Lake Luzerne,NY,12846,Warren,5,5186962105,Town of Lake Luzerne,Municipal,RHRF - 5 tpd or less - registration,[57R10005],Yes,595068,4799281,,Container Glass;Other Non-Ferrous Scrap Metal;Paperboard/Boxboard;PET;Newspaper,57R10005,11/16/2018,11/15/2023,"119 Towner Road
Lake Luzerne, NY 12846
(43.340454, -73.822182)"
Seneca (T) Rural Transfer,3671 County Road 5,,Stanley,NY,14561,Ontario,8,8002273552,Town of Seneca,Municipal,Transfer facility - registration,[35T10014],Yes,330375,4746548,,MSW (Residential/Institutional & Commercial);Commingled Recyclables;Bulk Metal,35T10014,03/27/2020,03/26/2025,"3671 County Road 5
Stanley, NY 14561
(42.852481, -77.076739)"
PK Metals(Holtsville),140 Corporate Drive,,Holtsville,NY,11742,Suffolk,1,6317326403,Philip Fava,Private,RHRF - greater than 5 tpd - registration,[52R20242],Yes,665386,4519696,4.3 - Utilization of Digital Orthophoto Quads,Plastic,52R20242,10/14/2021,10/14/2026,"140 Corporate Drive
Holtsville, NY 11742
(40.80954, -73.038301)"
Sullivan Transfer Station,7480 Bolivar Road,,Chittenango,NY,13037,Madison,7,3156876876,Madison County DSWS,County,Transfer facility - registration,[27T10020],Yes,427139,4770375,1 - No accuracy stated,MSW (Residential/Institutional & Commercial);Commingled Paper & Containers;Construction & Demolition Debris;Electronics;Metals (Ferrous & Non-Ferrous);Yard Waste;Waste Oil (Other);Waste Tires,27T10020,12/04/2018,12/03/2023,"7480 Bolivar Road
Chittenango, NY 13037
(43.082446, -75.895339)"
Tom McGinnis Excavating,78 1/2 Lake Street,,LeRoy,NY,14482,Genesee,8,5857686769,Thomas McGinnis,,Storage - septage - registration,[19G03],Yes,256067,4763281,,,19G03,04/23/2007,,"78 1/2 Lake Street
LeRoy, NY 14482
(42.983203, -77.992252)"
E.I.G. AUTO SALVAGE INC.,3515 HEATHCOTE AVE,,BRONX,NY,10475,Bronx,2,7186841777,E.I.G. Auto Salvage Inc.,,VDF - large - registration,[03V50005],Yes,599008,4526741,4.2 - Utilization of GIS and existing spatial data,Engine Coolant/Antifreeze;End of Life Vehicles;Lead-acid Batteries;Mix Coolant/Engine Oil/Washing Fluid/Water,03V50005,12/03/2019,12/02/2024,"3515 HEATHCOTE AVE
BRONX, NY 10475
(40.885785, -73.824592)"
Metalico Rochester Inc - Portland Avenue,50 Portland Avenue,,Rochester,NY,14605,Monroe,8,5852324767,Metalico Rochester,Private,VDF - large - registration,[28V50015],Yes,288818,4782700,4.2 - Utilization of GIS and existing spatial data,End of Life Vehicles,28V50015,04/16/2019,04/15/2024,"50 Portland Avenue
Rochester, NY 14605
(43.167578, -77.59829)"
NYSDOH - David Axelrod Institute,Wadsworth Center; NYS Department of Health,120 New Scotland Avenue,Albany,NY,12208,Albany,4,5184733837,NYS Department of Health,State,Regulated medical waste - onsite treatment,[01Q04],Yes,599999,4722856,,,4-0101-00118/00003,02/03/2014,03/31/2020,
Brookfield Resource at Montrose (nee Kaufman Auto Parts),2105 Albany Post Rd,,Montrose,NY,10548,Westchester,3,9149301626,Brookfield Resource Management,Private,VDF - large - registration,[60V50001],Yes,589860,4566752,,End of Life Vehicles,60V50001,02/13/2019,02/12/2023,"2105 Albany Post Rd
Montrose, NY 10548
(41.246924, -73.927511)"
Penn Yan (v) Biosolids Composting,30 Elmwood Ave,,Penn Yan,NY,14527,Yates,8,3155363023,Village of Penn Yan,,Composting - biosolids/other - permit,[62PP0015],Yes,333087,4724641,,,8-5730-00068/00004,10/21/2015,09/30/2025,"30 Elmwood Ave
Penn Yan, NY 14527
(43.233425, -77.069249)"
Outpost Automotive Inc,33 High Street P.O. Box 191,,Speonk,NY,11972,Suffolk,1,6313250011,C. Anthony Abbruzzese,Private,VDF - large - registration,[52V50305],Yes,693823,4524304,4.3 - Utilization of Digital Orthophoto Quads,End of Life Vehicles;Scrap Metal - Aluminum ;Scrap Metal - Ferrous ;Scrap Metal - Non-ferrous,52V50305,03/30/2021,03/29/2026,"33 High Street P.O. Box 191
Speonk, NY 11972
(40.847339, -72.70121)"
Joe's Auto Wreckers Inc,625 South Columbus Ave,,Mount Vernon,NY,10550,Westchester,3,9146647874,Joe Forti,Private,Vehicle Dismantling Facility,[60J08],Yes,599266,4528135,,,,,,"625 South Columbus Ave
Mount Vernon, NY 10550
(40.898441, -73.821887)"
Yellow Trading LTD,40 Zorn Blvd,,Yaphank,NY,11980,Suffolk,1,6313959888,David Parisi,Private,Used Cooking Oil Processing,[52R32],Yes,673669,4519849,,Used Cooking Oil;Grease Trap Waste,1-4722-04503/00002,06/07/2019,06/06/2024,"40 Zorn Blvd
Yaphank, NY 11980
(40.811405, -72.940279)"
Tri-State Transfer Associates Inc (Asbestos),1199 Randall Ave,,Bronx,NY,10474,Bronx,2,7186170771,Jaime Byrne Baranoff,Private,Transfer station - permit,[03T34],Yes,593559,4518435,,Asbestos (Friable);Asbestos (Non-Friable);Construction & Demolition Debris,2-6007-00006/00006,03/29/2017,03/28/2022,"1199 Randall Ave
Bronx, NY 10474
(40.811514, -73.890936)"
Richmond Recycling LLC,1900 South Avenue,,Staten Island,NY,10314,Richmond,2,7186981100,,,C&D processing - registration,[43W12R],Yes,568376,4494899,4.3 - Utilization of Digital Orthophoto Quads,Asphalt;Concrete;Soil (Clean);Rock,43W12R,12/31/2020,,"1900 South Avenue
Staten Island, NY 10314
(40.6016, -74.193191)"
Dolomite Products Company; Inc. - Manchester,1719 Lovers Lane Road,,Manchester,NY,14432,Ontario,8,3154622752,Dolomite Products Company; Inc.,Private,CDDHRF - concrete rock brick - registration,[35C10023],Yes,322716,4757478,4.2 - Utilization of GIS and existing spatial data,Concrete;Rock;Brick,35C10023,02/12/2021,02/11/2026,"1719 Lovers Lane Road
Manchester, NY 14432
(42.950648, -77.178778)"
Hornell TS,6360 East Avenue Extension,,Hornell,NY,14843,Steuben,8,6073247985,Steuben County,County,RHRF - 5 tpd or less - registration,[51R10002],Yes,281548,4687387,1 - No accuracy stated,Commingled Containers;Other Ferrous Scrap Metal;Electronics;Commingled Paper,51R10002,04/02/2021,04/02/2026,
Swarthout Recycling LLC,1514 County Road 19,,Beaver Dams,NY,14812,Schuyler,8,6079360013,Brian Swarthout,Private,Scrap metal processor - registration,[49V30006],Yes,338770,4685717,,Scrap Metal - Aluminum ;Scrap Metal - Ferrous ;Scrap Metal - Non-ferrous,49V30006,09/25/2019,09/25/2024,"1514 County Road 19
Beaver Dams, NY 14812
(42.306929, -76.957617)"
Metalico Aluminum Recovery Inc,6225 Thompson Road,,Syracuse,NY,13206,Onondaga,7,3154639292,Metalico Rochester,Private,Scrap metal processor - registration,[34V30042],Yes,410921,4769527,,Scrap Metal - Aluminum ;Scrap Metal - Ferrous ;Scrap Metal - Non-ferrous,34V30042,02/21/2019,02/21/2024,"6225 Thompson Road
Syracuse, NY 13206
(43.073165, -76.08928)"
Poughkeepsie (T) Highway Dept,8 Burnett Boulevard,,Poughkeepsie,NY,12603,Dutchess,3,9144521750,Town of Poughkeepsie,Municipal,Transfer facility - registration,[14T10006],Yes,592439,4616435,,MSW (Residential/Institutional & Commercial);Yard Waste;Electronics,14T10006,09/11/2019,09/10/2024,"8 Burnett Boulevard
Poughkeepsie, NY 12603
(41.696027, -73.888393)"
D&D Meats Composting Facility,8945 Rte 22,,West Chazy,NY,12992,Clinton,5,5184932300,J. Adrien Dutil,,Composting - roadkill/mortalities - registration,[10P30005],Yes,616856,4971959,4 - GIS Assisted,Food Scraps;Animal Carcasses,10C03,07/26/2071,,"8945 Rte 22
West Chazy, NY 12992
(44.896047, -73.549543)"
Oneida-Herkimer Solid Waste Authority - Leland Ave. Ext.,80 Leland Avenue,,Utica,NY,13502,Oneida,6,3157380417,Oneida Herkimer SWA,Municipal,Transfer facility - permit,[33TP0002],Yes,484432,4772023,4.2.1 - Utilization of GIS and Facility Mapping System,Animal Carcasses;Bypass Waste (Unprocessible/Processible) ;Construction & Demolition Debris;MSW (Residential/Institutional & Commercial),6-3016-00084/00005,10/22/2018,12/31/2022,"80 Leland Avenue
Utica, NY 13502
(43.106545, -75.212374)"
Gro Max; LLC,111 Swiss Farms Road,,Hudson,NY,12534-3719,Columbia,4,5186720168,Clifford Weigelt,,Composting - SSO - registration,[11P20602],Yes,609891,4676202,,Grass Clippings;Non-recognizable Food Processing Waste;Sludge (Papermill),11P20602,04/01/2019,04/01/2024,"111 Swiss Farms Road
Hudson, NY 12534-3719
(42.23205, -73.668859)"
North Elba Transfer Station,74 Recycle Circle Lane,,Lake Placid,NY,12946,Essex,5,5185232940,Essex County,Municipal,RHRF - registration,[16R29],Yes,582630,4902422,,Plastics;Metals (Non-Ferrous);Metals (Ferrous);Paper/Cardboard;Magazines;Newspaper;Glass,16R29,02/09/1994,,"74 Recycle Circle Lane
Lake Placid, NY 12946
(44.271383, -73.967485)"
Stericycle; Inc.,210 Sherwood Ave.,,Farmingdale,NY,11735,Suffolk,1,6317567190,Stericycle,Private,RMW - permit,[52JP0252],Yes,633591,4511620,1 - No accuracy stated,Regulated Medical Waste;Sharps,,,,"210 Sherwood Ave.
Farmingdale, NY 11735
(40.744936, -73.41802)"
County Waste & Recycling Services - Clifton Park,1927 Route 9,,Clifton Park,NY,12065,Saratoga,5,5188777007,County Waste & Recycling Services; Inc.,Private,Transfer facility - permit,[46TP0026],Yes,600089,4750975,,MSW (Residential/Institutional & Commercial);Waste Tires;Commingled Paper & Containers;Single Stream,5-4138-00127/00001,04/15/2021,04/14/2031,"1927 Route 9
Clifton Park, NY 12065
(42.903121, -73.774685)"
Town of Trenton Transfer Station,224 Veteran's Way,,Trenton (T),NY,13304,Oneida,6,3158962615,Town of Trenton,Municipal,CDDHRF - gypsum wallboard - registration,[33C40025],Yes,484637,4789620,,Construction & Demolition Debris,33C40025,07/29/2021,07/28/2026,"224 Veteran's Way
Trenton (T), NY 13304
(43.261247, -75.18742)"
James Herman Property,Liberty St.,,Warsaw,NY,14569,Wyoming,9,5857862571,Wyco Construction Inc.,Private,Land application - septage - registration,[61A40005],Yes,238508,4735412,4.2.1 - Utilization of GIS and Facility Mapping System,Septage,61A40005,08/22/2018,08/22/2023,
Arthur Trovei & Sons Inc,82 Sleepy Hollow Road,,Sparrowbush,NY,12780,Orange,3,8456491142,Arthur Trovei,Private,Scrap metal processor - registration,[36V30001],Yes,523496,4582841,,Scrap Metal - Non-ferrous ;Scrap Metal - Ferrous,36V30001,09/17/2018,09/17/2023,"82 Sleepy Hollow Road
Sparrowbush, NY 12780
(41.396689, -74.719105)"
Lake George C&D Debris Landfill,70 Transfer Road,,Lake George,NY,12845,Warren,5,5186682963,Town of Lake George,Municipal,Landfill - C&DD - permit,[57LC0019],Yes,603200,4806032,,Construction & Demolition Debris,5-5222-00140/00004,09/29/2021,10/02/2026,"70 Transfer Road
Lake George, NY 12845
(43.400276, -73.728683)"
SIMS Metal East LLC Middletown,820 Route 211 East,,Middletown,NY,10940,Orange,3,8456924640,Sims Metal East LLC,Private,Scrap metal processor - registration,[36V30002],Yes,554282,4590679,,Scrap Metal - Ferrous ;Scrap Metal - Non-ferrous,36V30002,10/19/2018,10/19/2023,"820 Route 211 East
Middletown, NY 10940
(41.46674, -74.349307)"
St. Lawrence County Massena Transfer Station,49 Dump Road,,Massena,NY,13662,St. Lawrence,6,3157647312,St. Lawrence County,County,Transfer facility - permit,[45TP0019],Yes,509550,4971516,4.1 - Address Matching,MSW (Residential/Institutional & Commercial);Construction & Demolition Debris;Waste Tires,6-4058-00075/00004,11/02/2017,11/01/2022,"49 Dump Road
Massena, NY 13662
(44.895576, -74.878674)"
Cortland County Landfill Westside Extension,4708 Town Line Rd.,,McGraw,NY,13101,Cortland,7,6077568077,Cortland County,County,Landfill - MSW - permit,[12LS0001],Yes,412515,4720747,4.3 - Utilization of Digital Orthophoto Quads,MSW (Residential/Institutional & Commercial);Construction & Demolition Debris;Sewage Treatment Plant Sludge;Asbestos (Friable & Non-Friable),7-1122-00052/00007,11/12/2014,11/11/2024,"4708 Town Line Rd.
McGraw, NY 13101
(42.627202, -76.070085)"
Poland Sand & Gravel - Floyd,Koenig Road,,Floyd,NY,13440,Oneida,6,3158263761,PSG Realty LLC,Private,CDDHRF - uncontaminated soil sand gravel rock - registration,[33C60024],Yes,472117,4782361,1.1 - Obtained from original submission and unverified process,Soil (Clean);Sand;Gravel;Rock,33C60024,10/15/2020,10/14/2025,
York TS,2825 River Road,,York,NY,14592,Livingston,8,5852433128,Town of York,Municipal,RHRF - 5 tpd or less - registration,[26R10010],Yes,266662,4749660,4.2 - Utilization of GIS and existing spatial data,Plastic;Clear Glass;Paperboard/Boxboard,26R10010,01/03/2020,01/03/2025,"2825 River Road
York, NY 14592
(42.863862, -77.856741)"
Rock Terrace LLC,210&230 Route 22,,Brewster,NY,10509,Putnam,3,9142323275,Lawton Adams,,Composting - yard trimmings - registration,[40P10001],Yes,619296,4586114,,Yard Waste;Animal Bedding,40P10001,11/16/2018,11/15/2022,
Madison County West Side Extension LF,6663 Buyea Road,,Canastota,NY,13163,Madison,7,3153618408,Madison County  DSWS,County,Landfill - MSW - permit,[27LS0016],Yes,442587,4765079,4.2 - Utilization of GIS and existing spatial data,Treated RMW;MSW (Residential/Institutional & Commercial);Construction & Demolition Debris;Foundry Sand;Petroleum Contaminated Soil;Sewage Treatment Plant Sludge,7-2538-00011/00005,01/29/2018,11/01/2027,"6663 Buyea Road
Canastota, NY 13163
(43.034912, -75.702821)"
Portville Transfer Station,99 Critchlow Drive,,Weston Mills,NY,14788,Cattaraugus,9,7163726298,Cattaraugus County DPW,County,Transfer facility - registration,[05T10014],Yes,219870,4662246,,MSW (Residential/Institutional & Commercial);Tin & Aluminum Containers;Paperboard/Boxboard;Textiles;Other - Glass;Commingled Paper;Electronics;Commingled Plastics,05T10014,02/27/2019,02/27/2024,"99 Critchlow Drive
Weston Mills, NY 14788
(42.064215, -78.385282)"
South County Transfer Station,2570 South Work Street,,Falconer,NY,14733,Chautauqua,9,7166656902,Chautauqua County DPF,County,RHRF - 5 tpd or less - registration,[07R10026],Yes,154133,4670705,,Metals (Non-Ferrous);Paper / Cardboard;Plastics;Electronics,07R10026,08/06/2018,08/06/2023,"2570 South Work Street
Falconer, NY 14733
(42.110903, -79.183919)"
